주차장명,주소,주차구획수,위도,경도
도시계획,경상북도 구미시 공단동 282-84,124,36.09815989,128.3685496
LG디스플레이A3,경상북도 구미시 공단동 299-1,198,36.0905966,128.3851995
시민행복주차장,"경상북도 고아읍 봉한리 911-113,911-154",130,36.11572157,128.4247777
구미시 임시 화물차 주차장,경상북도 구미시 고아읍 원호리 304-1,70,36.11572157,128.4247777
지구단위계획,경상북도 구미시 고아읍 이례리 390,18,36.11572157,128.4247777
시민행복주차장,경상북도 구미시 공단동 111,163,36.11572157,128.4247777
시민행복주차장,경상북도 구미시 공단동 265-29,101,36.11572157,128.4247777
심곡본동철골,경기도 부천시 심곡본동 656,172,37.48088675,126.7796898
심곡지하,경기도 부천시 심곡동 159,160,37.48916435,126.7847181
안중근공원,경기도 부천시 중동 1167,96,37.5032811,126.7602214
오정2호,"경기도 부천시 오정동 609-2,3",144,37.524308,126.7836257
오정도서관 부지,경기도 부천시 오정동 160-11,80,37.5275834,126.794314
오정산업단지,경기도 부천시 오정동 760,69,37.5309523,126.7801852
원미지하,경기도 부천시 원미동 127-5,143,37.49196507,126.7873104
원미철골,경기도 부천시 원미동 134-15,48,37.4926107,126.7851627
원종철골,"경기도 부천시 원종동 277-16,17,18",82,37.52507359,126.8052172
구미보건소,경상북도 구미시 지산동 853-12,47,36.13993541,128.3459536
선산보건소,경상북도 구미시 선산읍 동부리 700-1,12,36.24398836,128.2998946
농업기술센타,경상북도 구미시 선산읍 이문리 509,40,36.23357132,128.2895919
평생교육원,경상북도 구미시 공단동 256-17,49,36.1055052,128.3839004
농산물도매시장,경상북도 구미시 고아읍 문성리 513,581,36.15676365,128.349917
선산읍사무소,경상북도 구미시 선산읍 완전리 59-2,10,36.24327351,128.2992348
매일올레시장공영주차장,제주특별자치도 서귀포시 서귀동 277-1,234,33.250138,126.5632316
용머리주차장 북서측,제주특별자치도 서귀포시 안덕면 사계리 163-1,39,33.235943,126.3119127
대정하모 공영노외2주차장,제주특별자치도 서귀포시 대정읍 하모리 964-2,14,33.2230301,126.252066
걸매생태공원,제주특별자치도 서귀포시 서홍동 477-1,79,33.250536,126.554619
제일교회 부근,제주특별자치도 서귀포시 대정읍 하모리 1129-1,5,33.222216,126.249797
대정하모 공영노외3주차장,제주특별자치도 서귀포시 대정읍 하모리 1512-1,14,33.223864,126.252502
고성오일장 옆,제주특별자치도 서귀포시 성산읍 고성리 1188-2,97,33.45186232,126.9128147
소방파출소,제주특별자치도 서귀포시 성산읍 오조리 933,67,33.4602884,126.9096477
민속촌 주차장,제주특별자치도 서귀포시 표선면 표선리 40-77,150,33.32128714,126.8430882
성읍민속마을,제주특별자치도 서귀포시 표선면 성읍리 778,87,33.384967,126.800901
매일올레시장입구,제주특별자치도 서귀포시 서귀동 276-19,22,33.24957191,126.5629168
하모3리마을회관 옆,제주특별자치도 서귀포시 대정읍 하모리 1077-1,14,33.221643,126.249635
중앙로터리 공영주차빌딩,제주특별자치도 서귀포시 서귀동 298-2,120,33.25167869,126.560439
정방폭포,제주특별자치도 서귀포시 동홍동 277,62,33.24460547,126.5732253
상모아파트 앞,제주특별자치도 서귀포시 대정읍 상모리 3970-2,13,33.222557,126.257335
여성회관 북쪽,제주특별자치도 서귀포시 서귀동 321-5,28,33.24959972,126.558497
고성리 회전교차로,제주특별자치도 서귀포시 성산읍 고성리 346-2,76,33.44655575,126.9157493
법환동 재활용도움센터 옆,제주특별자치도 서귀포시 법환동 1063,20,33.240292,126.507801
회수사거리,제주특별자치도 서귀포시 회수동 788-2,18,33.263075,126.442507
10-2 새설봉사거리,경기도 이천시 중리동 3-6,23,37.27842078,127.437772
실버 중앙사거리,경기도 이천시 창전동 151-14,23,37.28160625,127.4427702
중리천로공영주차장,경기도 이천시 중리동 180-2,34,37.2802784,127.4422167
생태1주차장,경기도 이천시 모가면 어농리 871-3,27,37.17960623,127.4453047
생태2주차장,경기도 이천시 모가면 어농리 871-3,60,37.17960623,127.4453047
후문주차장,경기도 이천시 모가면 어농리 871-3,28,37.17960623,127.4453047
임시주차장,경기도 이천시 모가면 어농리 871-3,50,37.17960623,127.4453047
송악산,제주특별자치도 서귀포시 대정읍 상모리 165,16,33.205956,126.288894
남원리 구 오일장마당,제주특별자치도 서귀포시 남원읍 남원리 84-2,38,33.278819,126.721448
성산체육관,제주특별자치도 서귀포시 성산읍 오조리 1365-1,93,33.4667584,126.9045603
군민체육관,제주특별자치도 서귀포시 남원읍 남원리 2337-1,52,33.27740522,126.7033506
표선 시가지내,제주특별자치도 서귀포시 표선면 표선리 634-28,19,33.324977,126.833806
성산일출봉 주차장,제주특별자치도 서귀포시 성산읍 성산리 114-3,251,33.46260347,126.935333
산방산 주차장,제주특별자치도 서귀포시 안덕면 사계리 166-4,31,33.236268,126.312628
삼성의원 앞,제주특별자치도 서귀포시 대정읍 하모리 841-58,8,33.2203064,126.253256
돔베낭골,제주특별자치도 서귀포시 호근동 1619,58,33.24016844,126.531879
천지연주차장,제주특별자치도 서귀포시 서홍동 684,190,33.2438797,126.5605559
문부공원,제주특별자치도 서귀포시 동홍동 646-1,35,33.25398814,126.5706943
용머리 주차장 서측,제주특별자치도 서귀포시 안덕면 사계리 118,58,33.23379281,126.3108416
월드컵경기장,제주특별자치도 서귀포시 법환동 914,723,33.24706692,126.507363
주안4동제6노외주차장,인천광역시 미추홀구 주안동 1511-38,4,37.453177,126.685958
거창축협 유료주차장,경상남도 거창군 거창읍 상림리 131-3,30,35.6858047,127.909927
5-2 관고사거리(구.세무서),경기도 이천시 관고동 14-13,22,37.281706,127.4386395
6-1 중리동주민센터아래,경기도 이천시 중리동 193-12,28,37.27930013,127.442627
6-2 중리동주민센터앞,경기도 이천시 중리동 186-4,24,37.278643,127.442023
7-1 명동타운옆,경기도 이천시 중리동 203,19,37.278881,127.444412
7-2 남천공원입구,경기도 이천시 중리동 190-6,25,37.27842943,127.443198
8-2 터미널공영,경기도 이천시 중리동 462-3,45,37.27756732,127.448105
8-3 터미널뒤,경기도 이천시 중리동 221,17,37.2768559,127.4475908
8-4 안흥지건너편,경기도 이천시 중리동 463-5,17,37.276813,127.4489526
8-5 기아오토랜드앞,경기도 이천시 중리동 468-4,32,37.276012,127.449332
8-6 파티마병원뒤,경기도 이천시 중리동 468-17,30,37.275157,127.4499082
8-7 청솔공원앞,경기도 이천시 중리동 468-11,29,37.275539,127.449449
9-1 우리은행옆,경기도 이천시 창전동 147-6,8,37.281061,127.446637
9-2 나우한결내과앞,경기도 이천시 창전동 457-21,21,37.280914,127.447626
9-3 분수대오거리1,경기도 이천시 창전동 463-19,12,37.28043296,127.447127
9-4 분수대오거리2,경기도 이천시 창전동 463-1,18,37.28042481,127.447369
9-5 농협하나로마트앞,경기도 이천시 창전동 458-4,8,37.28116529,127.4486321
10-1 설봉공원입구,경기도 이천시 관고동 25-4,27,37.27943839,127.437406
광평복개천일방통행로,경상북도 구미시 송정동 501,274,36.11702097,128.3472638
중앙도서관주변,경상북도 구미시 형곡동 227-2,50,36.11508006,128.3360065
이계천,경상북도 구미시 진평동 645,103,36.1047513,128.401274
1단지기업사랑,경상북도 구미시 공단동 140,76,36.11541592,128.3796531
원호택지개발,경상북도 구미시 고아읍 원호리 470,12,36.1504447,128.3296797
원호택지개발,경상북도 구미시 고아읍 원호리 445,13,36.14974851,128.3312014
옥계1택지개발,경상북도 구미시 옥계동 553-6,31,36.14759078,128.417451
옥계2택지개발,경상북도 구미시 옥계동 640-3,73,36.13799603,128.415786
옥계2택지개발,경상북도 구미시 거의동 612-4,16,36.13750196,128.412137
봉곡구획정리,경상북도 구미시 봉곡동 151-2,37,36.15546466,128.3076257
봉곡구획정리,경상북도 구미시 봉곡동 213-6,29,36.1526308,128.314225
봉곡구획정리,경상북도 구미시 봉곡동 569,41,36.15090096,128.3079941
봉곡구획정리,경상북도 구미시 봉곡동 284-5,50,36.1495841,128.3113122
구평택지개발,경상북도 구미시 구평동 480-11,49,36.09353586,128.4332904
구평택지개발,경상북도 구미시 구평동 449-1,51,36.09300254,128.432956
구평택지개발,경상북도 구미시 구평동 443-1,46,36.09490984,128.4352875
동락공원,경상북도 구미시 진평동 766,388,36.09945079,128.4017505
형곡시장프라자앞,경상북도 구미시 형곡동 147-1,40,36.11302919,128.3342573
송정초등학교앞,경상북도 구미시 송정동 485,40,36.11374661,128.3491514
황상복개천,경상북도 구미시 황상동 248,130,36.11732519,128.4255956
무을상송주차장,경상북도 구미시 무을면 상송리 746-4,81,36.26984858,128.1588615
중앙시장,경상북도 구미시 원평동 166-8,22,36.13179869,128.330914
중앙시장2,경상북도 구미시 원평동 112-1,46,36.13149131,128.3296986
동산주차장,광주광역시 동구 금남로5가 75-2,34,35.15355791,126.9125786
삼성주차장,"광주광역시 동구 호남동 37-4, 10",26,35.14865455,126.9126409
신광주차장,광주광역시 동구 광산동 74,12,35.14643406,126.9184858
창성주차장,"광주광역시 동구 지산동 714-67,69",14,35.1512345,126.9317301
금촌주차장,"광주광역시 동구 금남로4가 38,37-4",14,35.1511331,126.9152472
대일주차장,광주광역시 동구 대인동 85,40,35.15284518,126.9141817
이화주차장,광주광역시 동구 용산동 636-42,62,35.1189038,126.9329971
황금알주차장,광주광역시 동구 서석동 125-1,18,35.1433911,126.9224171
군산앞바다주차장,광주광역시 동구 산수동 518-2,5,35.15377996,126.9328556
모든주차장,광주광역시 동구 수기동 33-9,30,35.14983897,126.9102121
황금알주차장,"광주광역시 동구 서석동 470-8,999-14,470-48",24,35.1433564,126.9235808
금남주차장,광주광역시 동구 궁동 56,26,35.15016833,126.917051
황금알주차장,"광주광역시 동구 서석동 470-31, 470-33",26,35.1432056,126.9238571
스타주차장,광주광역시 동구 불로동 17,36,35.14607087,126.9146366
대광주차장,광주광역시 동구 남동 34-2,18,35.14476581,126.920094
광주토끼주차장,광주광역시 동구 대인동 29-10,4,35.15391265,126.9145581
웨딩의거리무인주차장,광주광역시 동구 불로동 97-7,27,35.1456685,126.9160111
서석동 공영주차장,광주광역시 동구 서석동 24-2,29,35.1444875,126.9240817
한국주차장,"광주광역시 동구 지산동 720-17,18",13,35.1510667,126.9300751
태평주차장,광주광역시 동구 호남동 42-3,10,35.1471105,126.9129631
스마일주차장,광주광역시 동구 호남동 37-10,24,35.14865428,126.9126396
송도동 노상2,경상북도 포항시 남구 송도동 386-2,41,36.0415964,129.3728613
중앙주차장,광주광역시 동구 궁동 34-7,7,35.15039207,126.9182783
지산주차장,광주광역시 동구 금남로4가 21,29,35.15060325,126.9151191
신평주차장,"광주광역시 동구 호남동 43-13,21",8,35.147214,126.9124459
금남전자상가주차장,광주광역시 동구 금남로5가 1-5,76,35.15382435,126.9120823
미소주차장,광주광역시 동구 광산동 79-3,14,35.14618499,126.9180427
대각주차장,광주광역시 동구 대인동 79,11,35.1533452,126.9146472
그랜드주차장,광주광역시 동구 불로동 121,31,35.14557462,126.9165026
한화생명보험㈜광주사옥,광주광역시 동구 대인동 185-1 한화생명보험,119,35.15269643,126.9180494
에스원주차장,광주광역시 동구 남동 33-1,50,35.14472985,126.9202345
한일빌딩주차장,광주광역시 동구 학동 67,58,35.1411286,126.9211291
동명주차장,광주광역시 동구 지산동 715-27,20,35.15018533,126.9328454
고려자동차공업사주차장,광주광역시 동구 계림동 531-7,12,35.16004748,126.9174054
문화주차장,광주광역시 동구 지산동 715-27 동명빌딩,30,35.15018533,126.9328454
두산주차장,광주광역시 동구 학동 901-145,6,35.13401021,126.9248665
동진주차장,광주광역시 동구 불로동 181-3,6,35.1445066,126.9150937
금정주차장,광주광역시 동구 지산동 342-64,8,35.15106195,126.933749
현대주차장,광주광역시 동구 금동 184,18,35.14215143,126.9194382
도원주차장,광주광역시 동구 서석동 91,16,35.14528635,126.9221741
계8주차장,광주광역시 동구 계림동 489-15,16,35.15763804,126.9168548
지산주차장,"광주광역시 동구 지산동 716-31,32,33,37",16,35.1498832,126.9318136
추선장학회주차장,광주광역시 동구 대인동 163,65,35.15179429,126.9169045
금남주차장,광주광역시 동구 궁동 56,26,35.15016833,126.917051
억만이주차장,광주광역시 동구 계림동 577-7,22,35.15938508,126.9188812
서부신시가지 롯데마트뒤,전라북도 전주시 완산구 효자동2가 1229-2,42,35.817565,127.1032854
농협중앙회,전라북도 전주시 완산구 효자동3가 1529-13,51,35.81762512,127.1078265
도청옆,전라북도 전주시 완산구 효자동3가 1530-7,46,35.81761757,127.1101946
서부신시가지 서곡방면,전라북도 전주시 완산구 효자동3가 1589-6,28,35.828448,127.097802
정읍.고창방면 만남의광장,전라북도 전주시 완산구 효자동2가 925-1,84,35.801807,127.092018
산외주차장,전라북도 정읍시 산외면 평사리 438-4,43,35.62115727,127.0432433
수성주차장,전라북도 정읍시 수성동 524-20,99,35.569776,126.8508446
삼화그린주차장,전라북도 정읍시 시기동 194-25,54,35.567059,126.8503324
중앙로주차장,전라북도 정읍시 시기동 204-14,94,35.565876,126.852012
연지주차장,전라북도 정읍시 연지동 258-1,97,35.571175,126.845318
역광장 제2주차장,전라북도 정읍시 연지동 343-88,30,35.576219,126.844021
시기주차장,전라북도 정읍시 시기동 364,87,35.565688,126.855909
진안학천동,전라북도 진안군 진안읍 군상리 507-2,20,35.7929467,127.424684
진안중앙1,전라북도 진안군 진안읍 군상리 888,61,35.7931987,127.424684
진안중앙2,전라북도 진안군 진안읍 군상리 938-9,45,35.7920096,127.424684
삼리길,"경기도 안산시 상록구 사동 1547,(~1548)",74,37.304524,126.845051
민방위훈련장앞노상,경기도 안산시 상록구 월피동 445,34,37.328323,126.844238
다농마트노상,경기도 안산시 상록구 월피동 445-35,10,37.328616,126.844261
양지편길,"경기도 안산시 상록구 이동 712-2,(~715-13)",79,37.307011,126.847951
중보길,"경기도 안산시 상록구 이동 716-15,(~721-2)",78,37.307356,126.850516
백운역북광장,인천광역시 부평구 십정동 173-11,28,37.4839258,126.7073091
노랑다리,인천광역시 부평구 산곡동 391-18,43,37.50360605,126.7008096
삼산5차,인천광역시 부평구 삼산동 508,37,37.5202111,126.7483837
세월천골,인천광역시 부평구 청천동 366-39,19,37.514021,126.6990126
굴포천1차,인천광역시 부평구 부평동 255-1,238,37.4947095,126.7204751
부영길,인천광역시 부평구 부평동 758-26,62,37.4859255,126.7156691
묏골,인천광역시 부평구 산곡동 51-32,132,37.513192,126.7003689
희망로,경기도 성남시 수정구 단대동 129 단대어린이집,57,37.44964525,127.1556651
양지 제1,경기도 성남시 수정구 양지동 724,192,37.45760562,127.1590995
홍산라이브광장,전라북도 전주시 완산구 효자동3가 1533-13,122,35.81641226,127.107681
전주비보이광장,전라북도 전주시 완산구 효자동3가 1538-9,124,35.81643505,127.1103468
내동마을 공동주차장,경상남도 창녕군 이방면 안리 854-1,50,35.57694525,128.3876007
양지 제2,경기도 성남시 수정구 양지동 865-1,110,37.45528609,127.1606724
산성동 제1,경기도 성남시 수정구 산성동 2223 산성동제1공영주차장,109,37.45163183,127.1523239
단대 공원,경기도 성남시 수정구 산성동 507 단대공원공영주차장,147,37.45705541,127.1554861
산성동 제2,경기도 성남시 수정구 수정로 46번길 86,116,37.4502905,127.1455437
산성역 환승,경기도 성남시 수정구 산성동 6,225,37.45666153,127.1507202
복정 3호,경기도 성남시 수정구 복정동 707 복정동4호 공영주차장,284,37.46173843,127.1272242
복정 4호,경기도 성남시 수정구 복정동 707 복정동4호 공영주차장,196,37.45466888,127.1290839
복정 제5,경기도 성남시 수정구 복정동 688,220,37.45659231,127.1268013
수정,경기도 성남시 수정구 신흥동 37 공영주차장,71,37.44971199,127.1457155
신흥 제1,경기도 성남시 수정구 신흥동 6593 공영주차장,66,37.4388208,127.1395247
신흥 2동,경기도 성남시 수정구 신흥동 466 신흥2동공영주차장,199,37.44839239,127.149022
신흥 3동,경기도 성남시 수정구 신흥동 2473 신흥3동공영주차장,71,37.44275675,127.1509951
신흥 제7,경기도 성남시 수정구 신흥동 5542-2 신흥제7공영주차장,276,37.44179956,127.1369764
태평4동 제1,경기도 성남시 수정구 태평동 7300-3 태평4동제1공영주차장,97,37.44710477,127.1439927
태평,경기도 성남시 수정구 태평동 3752-4,135,37.44511353,127.1332352
태평동 제1,경기도 성남시 수정구 제일로 236,119,37.44717951,127.1292157
태평2동 제1,경기도 성남시 수정구 태평동3307-59,95,37.4460621,127.139003
태평4동제3,경기도 성남시 수정구 태평동 7289 금빛초등학교,163,37.44734677,127.1405577
아래숯골,경기도 성남시 수정구 태평동 6812 성남수정경찰서,150,37.44228797,127.1266624
태평4동,경기도 성남시 수정구 태평동 1-3 태평4동공영주차장,89,37.45123428,127.1385804
건우,경기도 성남시 수정구 태평동 224-4,153,37.4511916,127.13318
태평동 탄천변,경기도 성남시 수정구 탄천로 558,91,37.4408002,127.1206884
수진 제1,경기도 성남시 수정구 수진동 1294-1 수진제1공영주차장,119,37.43684866,127.1339166
수진 제2,경기도 성남시 수정구 수진동 4510-3 수진동주차장,165,37.43534918,127.1340856
수진 제3,경기도 성남시 수정구 수진동 1282 수진제3공영주차장,223,37.43814679,127.1333223
수진동 제4,경기도 성남시 수정구 수진동 4671-2외1필지,101,37.4372101,127.1262448
번성,경기도 성남시 수정구 수진동 3042-1 번성공영주차장,180,37.43915276,127.1296912
수정보건소 부설,경기도 성남시 수정구 신흥동 3435 수정구보건소,206,37.44432957,127.1440597
복정제6공영주차장,경기도 성남시 수정구 복정동 649 복정도서관,112,37.46375601,127.1278652
신흥제9공영주차장,경기도 성남시 수정구 시민로 173,179,37.44339097,127.1423583
신흥2동제1공영주차장,경기도 성남시 수정구 신흥동 2440,151,37.4479332,127.1535495
대원천,경기도 성남시 중원구 성남동 4596-1,222,37.4291231,127.1195821
성남동 대형,경기도 성남시 중원구 성남동 4596-1,565,37.42890932,127.1201186
성남동 제1,경기도 성남시 중원구 성남동 2876 성일고등학교,388,37.434032,127.1450957
성남동 제2,경기도 성남시 중원구 성남동 2963,251,37.4329539,127.1421171
대원지하,경기도 성남시 중원구 상대원동 4251 대원초등학교,153,37.43667139,127.1550994
상대원 제4,경기도 성남시 중원구 상대원동 1115,283,37.43588515,127.1661178
상대원 3동,경기도 성남시 중원구 상대원동 788 상대원3동공영주차장,108,37.44085696,127.1648226
금광1동 제1,경기도 성남시 중원구 금광동 2450-3 금광1동제1공영주차장,124,37.44305962,127.1695057
홍길동숯불갈비,울산광역시 북구 연암동 1093-8,27,35.58120998,129.3685543
금광2동 제2,경기도 성남시 중원구 금광동 4635 제2공영주차장,134,37.45048649,127.1599433
임시주차장,광주광역시 동구 금남로5가 124-1,13,35.1513886,126.912577
제이유료주차장,광주광역시 동구 금남로5가 77-3,10,35.153273,126.9126287
방부주차장,"광주광역시 동구 계림동 293-15,293-16",10,35.1574239,126.9191553
온누리주차장,광주광역시 동구 지산동 717-36,10,35.15017417,126.932244
홍림주차장,"광주광역시 동구 학동 276-2, 97-6",10,35.13222095,126.9357567
대동주차장,광주광역시 동구 금남로5가 116-1,10,35.15191313,126.9116146
용산역주차장,광주광역시 동구 월남동 345,46,35.10703912,126.9333766
금남지하상가 지하주차장,광주광역시 동구 금남로1가 12-7 금남지하상가,107,35.14783761,126.9200208
장흥주차장,"광주광역시 동구 지산동 714-31,714-32",9,35.15094243,126.9327789
전자상가주차장,"광주광역시 동구 금남로5가 85-7,8,9,84",28,35.15317245,126.9130356
정민주차장,광주광역시 동구 서석동 10-20,4,35.1464497,126.9259991
새중앙주차장,광주광역시 동구 광산동 86-2,1,35.14593195,126.9170729
중앙주차장,광주광역시 동구 호남동 48,20,35.1470773,126.9122722
열린산업주차장,광주광역시 동구 동명동 209-42,8,35.153733,126.9227527
24시 유료주차장,광주광역시 동구 광산동 100-12,9,35.14571625,126.9179905
빵빵주차장,광주광역시 동구 충장로5가 80-1,96,35.1508428,126.9110148
현대주차장,광주광역시 동구 지산동 717-20,10,35.15052391,126.9322525
동명주차장,광주광역시 동구 동명동 245-16,36,35.1536664,126.920339
금일주차장,광주광역시 동구 지산동 717-35,10,35.15026431,126.9322395
무등주차장,"광주광역시 동구 지산동 712-30, 712-31",8,35.15212524,126.9331862
억만이주차장,광주광역시 동구 계림동 577-7,14,35.15938508,126.9188812
계림주차장,광주광역시 동구 계림동 487-20,12,35.1580176,126.9180315
시의회옆,경기도 부천시 중동 1159-4,57,37.5027473,126.7643131
삼성동 동구보건소 담길,대전광역시 동구 삼성동 374-1번지 옆,25,36.3428521,127.4205171
삼성동 동산교회 앞길(오정철로길),대전광역시 동구 삼성동 379-1~384-14번지선,50,36.3394225,127.4251098
삼성동 삼성물류센터 주변,대전광역시 동구 삼성동 395번지 주변,31,36.3429344,127.4152138
삼성동 삼성철교,대전광역시 동구 삼성동 솔랑마을@ 뒤,25,36.3394225,127.4251098
삼성동 중부소방서 주변,대전광역시 동구 태전로137번길(삼성동 322-4),17,36.3395544,127.4206863
"삼성동 한국아파트 주변(현암로18번길, 태전로174번 안길)","대전광역시 동구 삼성동 373, 382,383번지 주변",21,36.3440667,127.4182355
삼정동구정골마을공영주차장,대전광역시 동구 삼정동 70번지,10,36.3261259,127.4753721
성남동 효촌아파트 담길,"대전광역시 동구 효촌A 209,210,211동 담길",45,36.3118844,127.4548329
신안동 한국철도시설공단 뒷길,대전광역시 동구 신안동 262~293번지선,82,36.3298818,127.4372204
신흥동 복합상가건물 뒤,대전광역시 동구 신흥동 12-8~13-5번지선,8,36.3229824,127.4438856
신흥삼거리~제1치수교,대전광역시 동구 충무로길(구 신흥동사무소 앞),25,36.3118844,127.4548329
심영목재상사 앞,대전광역시 동구 삼성동 296-19,17,36.3391703,127.4288991
용운동 도리어린이공원 주변,대전광역시 동구 용운동 284번지 주변,19,36.329381,127.4615276
용운동 모리아파트 담길,대전광역시 동구 용운동 319-1번지 앞,9,36.323047,127.4619276
"용운동 삼정하이츠, 문충사 주변","대전광역시 동구 용운동 363, 356-1번지선",41,36.3261834,127.4579521
용운동 선량마을 노상주차장,대전광역시 동구 용운동 54,5,36.3366621,127.4653206
하가지구 나그네교회 앞,전라북도 전주시 덕진구 덕진동 653-1,29,35.85339036,127.131618
송천2동 시영아파트 옆,전라북도 전주시 덕진구 송천동2가 1257,170,35.868255,127.113119
호성동 만남의광장,전라북도 전주시 덕진구 호성동2가 631-12,30,35.867441,127.147521
